epoch,step,train_loss
0,49,9.988880157470703
1,99,8.813796043395996
2,149,9.028650283813477
3,199,8.797323226928711
4,249,8.083971977233887
5,299,7.7946600914001465
6,349,7.641394138336182
7,399,7.757320404052734
8,449,7.50167989730835
9,499,7.846035003662109
10,549,7.477336883544922
11,599,7.563742160797119
12,649,7.409966945648193
13,699,7.3438334465026855
14,749,7.162538528442383
